@relation combined_iSOL_SentiCon_COAH

@attribute iSOL_PosCount_Body numeric
@attribute iSOL_NegCount_Body numeric
@attribute iSOL_PosCount_Summ numeric
@attribute iSOL_NegCount_Summ numeric
@attribute SC_totalSO_0_Body numeric
@attribute SC_posSO_0_Body numeric
@attribute SC_negSO_0_Body numeric
@attribute SC_totalSO_1_Body numeric
@attribute SC_posSO_1_Body numeric
@attribute SC_negSO_1_Body numeric
@attribute SC_totalSO_2_Body numeric
@attribute SC_posSO_2_Body numeric
@attribute SC_negSO_2_Body numeric
@attribute SC_totalSO_3_Body numeric
@attribute SC_posSO_3_Body numeric
@attribute SC_negSO_3_Body numeric
@attribute SC_totalSO_4_Body numeric
@attribute SC_posSO_4_Body numeric
@attribute SC_negSO_4_Body numeric
@attribute SC_totalSO_5_Body numeric
@attribute SC_posSO_5_Body numeric
@attribute SC_negSO_5_Body numeric
@attribute SC_totalSO_6_Body numeric
@attribute SC_posSO_6_Body numeric
@attribute SC_negSO_6_Body numeric
@attribute SC_totalSO_7_Body numeric
@attribute SC_posSO_7_Body numeric
@attribute SC_negSO_7_Body numeric
@attribute SC_totalSO_0_Summ numeric
@attribute SC_posSO_0_Summ numeric
@attribute SC_negSO_0_Summ numeric
@attribute SC_totalSO_1_Summ numeric
@attribute SC_posSO_1_Summ numeric
@attribute SC_negSO_1_Summ numeric
@attribute SC_totalSO_2_Summ numeric
@attribute SC_posSO_2_Summ numeric
@attribute SC_negSO_2_Summ numeric
@attribute SC_totalSO_3_Summ numeric
@attribute SC_posSO_3_Summ numeric
@attribute SC_negSO_3_Summ numeric
@attribute SC_totalSO_4_Summ numeric
@attribute SC_posSO_4_Summ numeric
@attribute SC_negSO_4_Summ numeric
@attribute SC_totalSO_5_Summ numeric
@attribute SC_posSO_5_Summ numeric
@attribute SC_negSO_5_Summ numeric
@attribute SC_totalSO_6_Summ numeric
@attribute SC_posSO_6_Summ numeric
@attribute SC_negSO_6_Summ numeric
@attribute SC_totalSO_7_Summ numeric
@attribute SC_posSO_7_Summ numeric
@attribute SC_negSO_7_Summ numeric
@attribute class {-1,1}

@data
13,2,1,0,1.442,1.442,0,0,0,0,1.667,1.667,0,0,0,0,2.594,2.594,0,0,0,0,1.097,1.097,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.667,0.667,0,0,0,0,0,0,0,0,0,0,1
8,1,0,0,3.131,3.131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.438,0.438,0,0.5,0.75,-0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,1
13,3,0,0,1.396,2.063,-0.667,0,0,0,1.667,1.667,0,0,0,0,0,0,0,0,0,0,1.388,1.388,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21,11,1,0,-0.757,0.836,-1.593,0,0,0,1.567,1.567,0,0,0,0,1.172,1.172,0,0,0,0,1.434,2.362,-0.928,0.5,0.75,-0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.625,0.625,0,0,0,0,0,0,0,0,0,0,1
10,1,0,0,1.985,1.985,0,0,0,0,0.792,0.792,0,0,0,0,0.719,0.719,0,0,0,0,0.321,0.321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0.375,0,0,0,0,1
7,3,2,0,1.219,1.219,0,0,0,0,0,0,0,0,0,0,0.625,0.625,0,0,0,0,0.75,0.75,0,0,0,0,0.75,0.75,0,0,0,0,0,0,0,0,0,0,0.625,0.625,0,0,0,0,0,0,0,0,0,0,1
12,5,1,0,2.792,3.229,-0.437,0,0,0,0,0,0,-0.75,0,-0.75,0,0,0,0,0,0,3.537,3.537,0,0.25,0.5,-0.25,0.833,0.833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,0,1,0,1.541,1.541,0,0,0,0,0.775,0.775,0,0,0,0,0.625,0.625,0,0,0,0,0.639,0.639,0,0,0,0,0.778,0.778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,2,0,0,0.251,0.688,-0.437,0,0,0,0.792,0.792,0,0,0,0,0.583,0.583,0,0,0,0,1.198,1.854,-0.656,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,4,0,1,0.833,0.833,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,-0.5,0.662,1.255,-0.593,0.25,0.75,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
