@relation combined_iSOL_SentiCon_MuchoCine

@attribute iSOL_PosCount_Body numeric
@attribute iSOL_NegCount_Body numeric
@attribute iSOL_PosCount_Summ numeric
@attribute iSOL_NegCount_Summ numeric
@attribute SC_totalSO_0_Body numeric
@attribute SC_posSO_0_Body numeric
@attribute SC_negSO_0_Body numeric
@attribute SC_totalSO_1_Body numeric
@attribute SC_posSO_1_Body numeric
@attribute SC_negSO_1_Body numeric
@attribute SC_totalSO_2_Body numeric
@attribute SC_posSO_2_Body numeric
@attribute SC_negSO_2_Body numeric
@attribute SC_totalSO_3_Body numeric
@attribute SC_posSO_3_Body numeric
@attribute SC_negSO_3_Body numeric
@attribute SC_totalSO_4_Body numeric
@attribute SC_posSO_4_Body numeric
@attribute SC_negSO_4_Body numeric
@attribute SC_totalSO_5_Body numeric
@attribute SC_posSO_5_Body numeric
@attribute SC_negSO_5_Body numeric
@attribute SC_totalSO_6_Body numeric
@attribute SC_posSO_6_Body numeric
@attribute SC_negSO_6_Body numeric
@attribute SC_totalSO_7_Body numeric
@attribute SC_posSO_7_Body numeric
@attribute SC_negSO_7_Body numeric
@attribute SC_totalSO_0_Summ numeric
@attribute SC_posSO_0_Summ numeric
@attribute SC_negSO_0_Summ numeric
@attribute SC_totalSO_1_Summ numeric
@attribute SC_posSO_1_Summ numeric
@attribute SC_negSO_1_Summ numeric
@attribute SC_totalSO_2_Summ numeric
@attribute SC_posSO_2_Summ numeric
@attribute SC_negSO_2_Summ numeric
@attribute SC_totalSO_3_Summ numeric
@attribute SC_posSO_3_Summ numeric
@attribute SC_negSO_3_Summ numeric
@attribute SC_totalSO_4_Summ numeric
@attribute SC_posSO_4_Summ numeric
@attribute SC_negSO_4_Summ numeric
@attribute SC_totalSO_5_Summ numeric
@attribute SC_posSO_5_Summ numeric
@attribute SC_negSO_5_Summ numeric
@attribute SC_totalSO_6_Summ numeric
@attribute SC_posSO_6_Summ numeric
@attribute SC_negSO_6_Summ numeric
@attribute SC_totalSO_7_Summ numeric
@attribute SC_posSO_7_Summ numeric
@attribute SC_negSO_7_Summ numeric
@attribute class {-1,1}

@data
14,27,0,1,0.89,1.827,-0.937,0,0,0,0,0,0,0,0,0,3.188,3.188,0,0,0,0,0.799,1.438,-0.639,0.25,0.75,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
14,15,0,0,1.753,1.753,0,0,0,0,-0.875,0,-0.875,0,0,0,-0.703,1.156,-1.859,-0.5,0,-0.5,1.182,1.182,0,1.5,2,-0.5,0.289,0.289,0,0,0,0,0,0,0,0,0,0,0.625,0.625,0,0,0,0,0.393,0.393,0,0,0,0,1
11,29,0,0,-0.092,0.833,-0.925,0,0,0,1.875,1.875,0,0,0,0,0.009,0.634,-0.625,0,0.5,-0.5,-0.369,0.693,-1.062,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
7,14,0,2,-0.575,0,-0.575,0,0,0,1.667,1.667,0,0,0,0,0.625,0.625,0,0,0,0,0.248,0.956,-0.708,-0.25,0.25,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
9,12,0,2,0.375,0.833,-0.458,0,0,0,0.792,0.792,0,0,0,0,0,0,0,-0.5,0,-0.5,1.147,1.522,-0.375,-0.25,0,-0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
28,23,1,0,-0.112,1.324,-1.436,0,0,0,-0.041,0.792,-0.833,-1.5,0,-1.5,1.828,1.828,0,-1.5,1,-2.5,1.817,2.486,-0.669,0.25,0.75,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20,11,0,0,2.592,2.592,0,0.708,0.708,0,1.867,2.667,-0.8,0,0,0,0.677,1.344,-0.667,1,1,0,1.739,1.739,0,-0.25,0.5,-0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,-1
26,18,1,0,3.418,4.384,-0.966,0,0,0,0.792,0.792,0,0,0,0,1.246,2.495,-1.249,-1,0,-1,3.902,4.815,-0.913,0.25,1.25,-1,0,0,0,0,0,0,0,0,0,0,0,0,0.563,0.563,0,0,0,0,0,0,0,0,0,0,1
23,14,1,0,0.561,1.111,-0.55,-1,0,-1,0.775,0.775,0,0,0,0,1.867,2.554,-0.687,-0.5,0,-0.5,1.517,2.6,-1.083,1,1.25,-0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19,11,0,0,0.905,1.467,-0.562,0,0,0,1.667,1.667,0,0,0,0,1.986,1.986,0,-1,0,-1,0.965,2.069,-1.104,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
