@relation iSOL_COAH

@attribute iSOL_PosCount_Body numeric
@attribute iSOL_NegCount_Body numeric
@attribute iSOL_PosCount_Summ numeric
@attribute iSOL_NegCount_Summ numeric
@attribute class {-1,1}

@data
13,2,1,0,1
8,1,0,0,1
13,3,0,0,1
21,11,1,0,1
10,1,0,0,1
7,3,2,0,1
12,5,1,0,1
8,0,1,0,1
9,2,0,0,1
11,4,0,1,1
7,1,0,0,1
6,0,1,0,1
9,2,0,0,1
9,1,1,0,1
6,0,0,0,1
9,1,1,0,1
3,3,1,0,1
6,1,1,0,1
12,7,2,0,1
9,2,0,0,1
9,1,0,0,1
7,0,1,0,1
9,2,1,0,1
18,1,2,0,1
8,2,2,0,1
5,2,1,0,1
10,2,1,0,1
13,6,1,0,1
6,0,1,0,1
8,0,2,0,1
3,1,0,0,1
9,2,1,0,1
10,2,0,0,1
5,1,1,0,1
8,0,1,0,1
8,1,1,0,1
8,4,1,0,1
2,3,1,0,1
3,0,1,0,1
8,6,0,0,1
2,0,1,0,1
4,1,2,0,1
5,0,1,0,1
7,1,1,0,1
4,0,1,0,1
7,1,1,0,1
7,2,0,0,1
9,0,1,0,1
4,0,0,0,1
3,1,1,0,1
12,0,0,0,1
13,0,1,0,1
9,0,1,0,1
3,0,1,0,1
10,1,1,0,1
8,0,1,1,1
8,3,0,0,1
8,3,0,0,1
11,3,1,0,1
29,6,0,0,1
9,0,1,0,1
9,1,1,0,1
6,0,1,0,1
4,3,1,0,1
4,0,0,0,1
6,0,0,1,1
5,1,1,0,1
9,0,1,0,1
2,1,1,0,1
4,0,1,0,1
8,1,1,0,1
8,1,1,0,1
7,1,2,0,1
5,1,0,0,1
4,0,0,0,1
1,1,2,0,1
6,2,1,0,1
17,7,1,1,1
7,0,2,0,1
4,2,0,0,1
6,1,1,0,1
11,1,1,0,1
3,0,1,0,1
7,1,2,0,1
3,1,2,0,1
12,2,0,0,1
7,1,1,0,1
7,1,2,0,1
4,0,0,0,1
9,0,0,0,1
7,0,0,0,1
5,1,1,0,1
8,1,1,0,1
2,0,1,0,1
10,3,1,0,1
3,0,1,0,1
5,0,2,0,1
3,0,1,0,1
4,0,2,0,1
5,0,0,0,1
15,3,2,0,1
3,0,1,0,1
5,0,2,0,1
3,0,1,0,1
5,0,1,0,1
6,2,0,0,1
8,1,1,0,1
2,0,2,0,1
11,5,1,0,1
3,0,1,0,1
4,0,1,0,1
8,2,1,0,1
4,1,0,0,1
4,0,1,0,1
5,1,1,1,1
5,0,1,0,1
8,3,0,0,1
13,2,1,0,1
11,3,1,0,1
13,4,1,0,1
8,1,1,0,1
7,2,0,2,1
7,0,1,0,1
4,0,1,0,1
5,0,1,0,1
9,0,1,0,1
10,0,1,0,1
8,3,1,0,1
7,2,0,0,1
6,0,1,0,1
6,0,2,0,1
9,1,0,0,1
7,0,1,0,1
4,0,1,0,1
4,0,0,0,1
3,1,2,0,1
7,0,2,0,1
5,0,1,0,1
10,1,1,0,1
4,0,1,0,1
7,1,1,0,1
7,0,1,0,1
6,0,1,0,1
4,0,1,0,1
13,4,2,0,1
7,0,0,0,1
4,0,1,0,1
9,1,1,0,1
10,0,1,0,1
6,0,0,0,1
7,0,1,0,1
3,3,1,0,1
7,1,1,0,1
1,3,0,0,1
8,0,1,0,1
3,1,1,0,1
8,0,1,0,1
9,7,1,0,1
3,2,1,0,1
11,1,0,0,1
2,1,0,0,1
4,0,1,0,1
10,4,1,0,1
10,0,1,0,1
2,0,1,0,1
5,1,1,0,1
6,0,1,0,1
6,1,1,0,1
9,1,1,0,1
11,0,1,0,1
13,0,1,0,1
6,2,1,0,1
5,2,0,0,1
9,0,2,0,1
5,1,2,0,1
5,0,1,0,1
7,0,1,0,1
4,0,1,0,1
4,1,3,0,1
9,0,4,0,1
1,0,1,0,1
11,3,0,0,1
6,0,1,0,1
5,0,1,0,1
9,1,0,0,1
2,2,0,0,1
6,0,1,0,1
8,0,0,0,1
6,1,2,1,1
8,0,1,0,1
18,0,2,0,1
8,0,2,0,1
3,0,2,0,1
7,1,2,0,1
17,5,1,0,1
6,0,1,0,1
6,0,1,0,1
3,1,1,0,1
10,1,1,0,1
21,1,1,0,1
7,1,1,0,1
4,0,1,0,1
5,0,1,0,1
4,0,0,0,1
5,0,1,0,1
10,0,1,0,1
5,0,3,0,1
10,2,1,0,1
10,0,0,0,1
5,0,1,0,1
3,0,2,0,1
10,3,0,0,1
6,0,1,0,1
17,3,1,0,1
13,2,0,0,1
17,8,1,0,1
11,0,1,0,1
21,6,1,0,1
6,1,0,0,1
8,1,1,0,1
4,2,1,0,1
9,3,1,0,1
9,3,1,0,1
4,0,0,0,1
7,0,2,0,1
9,1,1,0,1
6,1,1,1,1
12,3,1,0,1
6,3,0,0,1
14,4,1,1,1
8,0,1,0,1
9,0,1,0,1
11,2,1,0,1
5,0,1,0,1
11,0,0,0,1
8,0,1,0,1
7,2,1,0,1
8,0,1,0,1
8,2,0,0,1
7,0,0,0,1
7,2,1,0,1
6,2,0,0,1
11,0,1,0,1
6,1,2,0,1
6,0,2,0,1
18,1,1,0,1
4,1,2,0,1
8,1,1,0,1
5,0,1,0,1
5,1,0,0,1
7,2,1,0,1
7,0,1,0,1
7,1,1,0,1
7,1,0,0,1
4,0,1,0,1
4,0,1,0,1
3,0,0,0,1
16,0,0,0,1
7,1,2,0,1
2,0,1,0,1
6,3,1,1,1
11,1,1,0,1
13,0,0,1,1
7,4,0,1,1
7,3,1,0,1
5,0,1,0,1
7,0,1,0,1
2,0,0,0,1
19,2,1,0,1
7,0,2,0,1
8,0,0,0,1
11,0,2,0,1
7,2,1,0,1
15,1,2,0,1
9,2,1,0,1
6,0,2,0,1
6,0,1,0,1
15,1,2,0,1
6,0,1,0,1
8,0,2,0,1
7,1,1,0,1
10,3,1,0,1
12,0,1,1,1
3,0,1,0,1
5,1,1,0,1
7,2,1,0,1
6,1,1,1,1
13,6,1,0,1
5,1,0,0,1
4,0,0,0,1
12,5,1,0,1
20,17,0,0,1
23,6,0,0,1
15,4,1,0,1
20,8,0,1,1
4,0,1,0,1
17,0,1,0,1
7,0,2,0,1
9,2,0,0,1
7,0,0,0,1
6,0,1,0,1
7,0,1,0,1
3,0,0,0,1
10,2,0,0,1
6,2,2,0,1
15,1,1,0,1
6,0,1,0,1
10,0,1,0,1
4,2,2,0,1
36,14,0,0,1
7,2,1,0,1
6,0,2,0,1
5,0,0,0,1
10,2,1,0,1
2,0,2,0,1
6,1,0,0,1
5,1,1,0,1
3,1,0,0,1
9,2,1,0,1
5,0,0,0,1
13,0,1,0,1
3,0,1,0,1
10,0,1,0,1
5,0,1,0,1
5,1,3,0,1
11,1,1,0,1
16,8,0,1,1
5,2,0,0,1
8,1,1,0,1
4,1,1,0,1
7,4,0,0,1
11,0,0,0,1
6,1,1,0,1
9,3,1,0,1
2,0,1,0,1
8,2,1,0,1
7,0,1,0,1
21,2,1,0,1
2,0,1,0,1
5,2,0,0,1
10,2,1,0,1
10,1,2,0,1
4,2,1,0,1
3,0,0,0,1
9,3,1,0,1
2,0,1,0,1
5,0,1,0,1
5,0,0,0,1
2,0,2,0,1
1,0,1,0,1
9,1,1,0,1
8,0,1,0,1
9,1,1,0,1
8,0,1,0,1
12,1,1,1,1
4,0,1,0,1
4,0,1,0,1
4,0,1,0,1
13,3,1,0,1
5,1,1,0,1
8,2,1,0,1
5,2,1,0,1
3,4,1,0,1
7,2,2,0,1
9,2,1,0,1
11,4,1,0,1
3,3,0,0,1
8,0,0,0,1
5,1,1,0,1
4,1,2,0,1
8,0,1,0,1
2,0,1,0,1
6,0,1,0,1
1,0,0,0,1
9,0,1,0,1
4,0,1,0,1
10,4,1,0,1
3,2,1,0,1
10,3,1,0,1
7,2,1,0,1
1,0,0,0,1
3,0,0,0,1
5,0,1,0,1
10,7,0,1,1
14,0,1,0,1
3,0,1,0,1
4,1,1,0,1
13,1,1,0,1
10,0,0,0,1
7,1,1,0,1
11,0,1,0,1
11,1,1,0,1
11,0,2,0,1
5,1,1,1,1
1,0,0,0,1
3,0,0,0,1
7,1,1,0,1
7,1,0,0,1
10,1,1,0,1
6,2,1,0,1
8,1,1,0,1
9,0,1,0,1
13,9,0,0,1
8,0,3,0,1
12,4,1,0,1
5,0,0,1,1
5,1,1,0,1
11,1,2,0,1
8,5,1,0,1
3,2,0,0,1
11,0,0,0,1
2,0,1,0,1
6,1,0,0,1
7,1,1,0,1
8,0,1,0,1
2,1,0,0,1
24,5,1,0,1
3,2,0,0,1
2,1,0,0,1
7,0,1,0,1
7,1,0,0,1
10,1,0,0,1
3,0,0,0,1
3,0,0,0,1
6,3,1,0,1
13,0,0,0,1
10,5,0,0,1
2,1,1,0,1
17,1,1,0,1
5,1,1,0,1
8,3,2,0,1
4,0,1,0,1
7,5,1,0,1
9,0,0,0,1
1,0,0,0,1
7,0,1,0,1
8,0,1,0,1
4,1,1,0,1
4,1,1,0,1
13,1,0,0,1
3,0,1,0,1
3,0,0,0,1
6,2,1,0,1
4,2,0,0,1
5,0,0,0,1
10,0,0,0,1
9,0,1,0,1
11,1,1,0,1
11,2,0,1,1
14,0,3,0,1
2,2,0,1,1
12,0,1,0,1
3,0,1,0,1
7,0,0,0,1
33,6,1,0,1
11,0,1,0,1
3,0,0,0,1
9,0,0,0,1
8,1,1,0,1
25,3,2,0,1
4,0,1,0,1
24,1,2,0,1
7,1,3,0,1
8,0,1,0,1
5,0,1,0,1
4,0,1,0,1
13,1,0,0,1
6,2,1,0,1
3,1,0,0,1
3,3,1,0,1
8,0,1,0,1
24,1,0,0,1
1,0,1,0,1
5,2,1,0,1
9,0,1,0,1
10,2,1,0,1
2,0,1,0,1
11,1,1,0,1
12,2,2,0,1
3,0,1,0,1
3,0,0,0,1
6,0,1,0,1
7,1,2,0,1
5,0,1,0,1
5,2,0,0,1
3,0,2,0,1
3,0,0,0,1
9,0,1,0,1
2,0,1,0,1
4,0,0,0,1
5,0,0,0,1
9,2,1,0,1
5,0,0,0,1
4,0,0,0,1
8,0,1,0,1
4,0,2,0,1
6,1,1,0,1
10,0,1,0,1
3,0,1,0,1
13,2,1,0,1
6,1,0,0,1
5,0,0,0,1
6,0,1,0,1
11,0,2,0,1
5,1,1,0,1
5,1,0,0,1
8,0,1,0,1
5,1,1,0,1
3,1,0,0,1
10,1,0,0,1
6,0,1,0,1
15,0,2,0,1
15,5,1,0,1
6,1,0,0,1
7,1,1,0,1
5,1,1,0,1
13,0,0,0,1
7,1,1,0,1
10,1,1,0,1
3,1,1,0,1
11,0,1,0,1
16,1,0,0,1
35,1,1,0,1
8,0,1,0,1
6,6,2,0,1
22,7,2,0,1
19,3,1,0,1
21,5,4,0,1
8,3,0,0,1
6,1,1,0,1
4,0,0,0,1
11,5,3,0,1
4,3,0,0,1
5,3,1,0,1
5,0,1,0,1
5,1,0,0,1
4,1,1,0,1
7,1,1,0,1
12,4,3,0,1
7,3,1,0,1
3,3,1,0,1
2,0,1,0,1
7,0,2,0,1
2,3,1,0,1
14,2,1,0,1
12,2,1,0,1
4,6,1,0,1
9,2,0,0,1
7,2,1,0,1
3,2,1,0,1
3,0,0,0,1
7,0,0,0,1
8,3,0,0,1
3,2,1,0,1
1,3,1,0,1
9,3,1,0,1
6,2,1,0,1
10,7,1,0,1
6,1,1,0,1
6,0,1,0,1
7,3,0,0,1
6,1,1,1,1
21,3,1,0,1
6,1,0,0,1
8,1,1,0,1
7,5,1,0,1
4,0,0,0,1
6,0,1,0,1
4,0,1,0,1
11,4,0,0,1
6,1,1,0,1
5,3,0,0,1
8,0,0,0,1
11,4,1,0,1
8,2,1,0,1
4,0,1,0,1
7,3,1,0,1
4,1,1,0,1
5,0,0,0,1
4,2,0,0,1
6,4,0,0,1
6,4,0,0,1
11,3,0,0,1
10,5,1,0,1
6,0,2,0,1
7,2,1,0,1
3,1,1,0,1
6,2,1,0,1
6,5,2,0,1
7,1,0,1,1
18,2,3,0,1
5,0,1,0,1
11,1,0,0,1
6,3,1,0,1
9,0,1,0,1
9,0,3,0,1
4,0,1,0,1
16,2,1,0,1
4,1,1,0,1
8,4,0,0,1
5,1,0,0,1
7,0,0,0,1
7,2,1,0,1
13,2,1,0,1
8,3,1,0,1
12,0,1,0,1
6,2,0,0,1
9,1,0,0,1
6,3,2,0,1
11,4,0,1,1
2,3,1,0,1
3,1,2,0,1
3,1,1,0,1
4,0,2,0,1
5,1,1,0,1
4,0,1,0,1
1,1,0,0,1
4,1,1,0,1
8,3,2,0,1
7,0,1,0,1
30,10,3,0,1
12,2,0,0,1
7,0,0,0,1
6,2,1,0,1
3,0,2,0,1
2,1,2,0,1
6,0,0,0,1
2,0,1,0,1
6,1,0,0,1
4,3,0,1,1
7,5,1,0,1
8,0,1,0,1
12,2,2,0,1
5,2,3,0,1
7,3,1,0,1
2,1,1,0,1
6,3,0,2,1
5,1,1,0,1
7,0,2,0,1
2,0,1,0,1
1,4,0,1,1
12,2,1,0,1
9,4,0,0,1
10,1,1,0,1
8,3,1,0,1
