@relation iSOL_MuchoCine

@attribute iSOL_PosCount_Body numeric
@attribute iSOL_NegCount_Body numeric
@attribute iSOL_PosCount_Summ numeric
@attribute iSOL_NegCount_Summ numeric
@attribute class {-1,1}

@data
14,27,0,1,-1
14,15,0,0,1
11,29,0,0,-1
7,14,0,2,-1
9,12,0,2,-1
28,23,1,0,1
20,11,0,0,-1
26,18,1,0,1
23,14,1,0,1
19,11,0,0,1
15,9,0,0,1
5,9,0,0,-1
29,12,0,0,1
44,31,0,1,-1
4,5,0,0,-1
24,31,0,2,-1
22,29,0,2,-1
13,5,0,0,-1
18,25,1,1,-1
21,14,0,0,-1
14,16,2,0,1
62,65,0,0,1
29,33,0,0,1
36,26,0,0,1
35,40,0,1,1
4,9,0,0,-1
17,16,0,0,-1
7,12,0,0,-1
33,36,1,0,1
8,9,1,0,1
28,7,1,0,1
19,9,0,0,-1
22,13,1,0,-1
20,12,1,2,-1
9,11,1,0,1
23,43,0,0,1
5,9,0,1,-1
35,24,2,0,1
7,9,0,1,-1
10,11,1,0,1
17,4,1,0,1
24,26,0,0,-1
67,52,0,0,1
46,36,1,1,1
17,13,1,0,1
14,11,0,0,1
50,64,0,0,1
16,12,1,0,-1
12,11,1,0,1
31,42,2,0,-1
16,4,2,0,1
7,12,0,0,1
15,15,1,0,1
17,12,1,0,1
18,8,0,1,1
9,12,0,0,-1
35,46,0,0,1
10,7,0,0,1
12,15,0,1,1
104,135,0,2,1
12,3,0,0,-1
17,26,0,0,-1
11,9,0,0,-1
8,12,0,0,-1
28,9,3,1,1
7,17,0,0,-1
8,10,0,1,-1
16,7,0,1,1
9,16,1,1,-1
24,13,0,0,1
35,20,0,1,1
9,11,0,0,-1
32,36,0,1,-1
15,17,0,2,-1
19,15,0,1,-1
62,85,1,0,1
30,17,0,1,1
24,18,0,0,-1
17,17,1,1,1
21,11,1,0,1
5,10,0,0,-1
24,13,0,0,1
19,9,2,0,1
20,12,1,0,-1
45,41,2,1,-1
13,17,0,3,-1
19,16,2,1,-1
8,11,1,0,-1
26,23,0,1,1
19,19,0,0,-1
42,15,1,0,1
14,8,1,2,-1
27,35,1,2,-1
14,15,1,2,-1
13,11,0,1,1
25,27,3,1,1
10,12,0,0,-1
8,11,1,0,1
10,11,2,2,-1
19,23,1,1,1
27,23,0,0,1
10,10,0,1,-1
22,18,1,0,1
20,11,0,0,1
14,8,0,0,-1
24,37,2,0,1
50,43,1,1,1
17,6,1,1,1
17,8,1,1,1
4,7,0,0,-1
24,12,0,0,1
19,15,0,0,1
21,16,1,0,-1
16,7,3,0,1
19,21,1,0,1
18,13,0,1,-1
21,27,0,0,1
4,8,0,0,-1
10,10,1,1,-1
25,24,1,3,-1
21,31,1,1,1
15,12,0,0,1
10,12,3,0,1
15,24,0,3,1
21,19,0,1,-1
39,22,0,2,1
12,12,1,0,1
7,16,0,4,-1
19,11,2,0,1
23,18,0,0,1
18,21,0,1,1
19,6,2,0,1
16,19,1,2,-1
22,19,1,0,-1
7,9,0,2,1
16,22,0,0,-1
19,18,1,0,-1
14,12,0,0,1
22,11,3,1,1
7,23,0,1,-1
27,52,1,1,-1
11,12,1,0,1
3,12,0,2,-1
12,15,0,0,-1
5,5,3,1,1
14,11,0,1,-1
22,9,1,1,1
4,4,0,1,1
7,12,0,0,-1
29,35,0,0,-1
38,37,0,0,1
15,8,0,1,1
47,46,1,0,-1
17,18,1,1,-1
6,14,0,1,-1
6,6,1,0,1
7,6,0,0,1
16,24,0,1,1
19,16,0,0,-1
32,12,1,0,-1
28,30,0,0,1
30,13,0,0,1
19,31,0,0,1
1,0,0,0,-1
